year,sex,industry1,industry2,employment_status,employed
2011,Female,Services,Public Administration And Education,Employees,110700
2011,Female,Services,Public Administration And Education,Own Account Workers,9100
2011,Female,Services,Public Administration And Education,Contributing Family Workers,0
2011,Female,Services,Health And Social Services,Employers,1300
2011,Female,Services,Health And Social Services,Employees,65800
2011,Female,Services,Health And Social Services,Own Account Workers,600
2011,Female,Services,Health And Social Services,Contributing Family Workers,0
2011,Female,Services,"Arts, Entertainment And Recreation",Employers,100
2011,Female,Services,"Arts, Entertainment And Recreation",Employees,14600
2011,Female,Services,"Arts, Entertainment And Recreation",Own Account Workers,800
2011,Female,Services,"Arts, Entertainment And Recreation",Contributing Family Workers,200
2011,Female,Services,"Other Community, Social And Personal Services",Employers,2700
2011,Female,Services,"Other Community, Social And Personal Services",Employees,26100
2011,Female,Services,"Other Community, Social And Personal Services",Own Account Workers,7700
2011,Female,Services,"Other Community, Social And Personal Services",Contributing Family Workers,200
2011,Female,Others,Others,Employers,200
2011,Female,Others,Others,Employees,5400
2011,Female,Others,Others,Own Account Workers,0
2011,Female,Others,Others,Contributing Family Workers,100
2012,Male,Manufacturing,Manufacturing,Employers,11800
2012,Male,Manufacturing,Manufacturing,Employees,169200
2012,Male,Manufacturing,Manufacturing,Own Account Workers,4100
2012,Male,Manufacturing,Manufacturing,Contributing Family Workers,300
2012,Male,Construction,Construction,Employers,14200
2012,Male,Construction,Construction,Employees,59000
2012,Male,Construction,Construction,Own Account Workers,7100
2012,Male,Construction,Construction,Contributing Family Workers,400
2012,Male,Services,Wholesale And Retail Trade,Employers,21600
2012,Male,Services,Wholesale And Retail Trade,Employees,115200
2012,Male,Services,Wholesale And Retail Trade,Own Account Workers,15500
2012,Male,Services,Wholesale And Retail Trade,Contributing Family Workers,1500
2012,Male,Services,Transportation And Storage,Employers,4400
2012,Male,Services,Transportation And Storage,Employees,91000
2012,Male,Services,Transportation And Storage,Own Account Workers,46700
2012,Male,Services,Transportation And Storage,Contributing Family Workers,100
2012,Male,Services,Accommodation And Food Services,Employers,6100
2012,Male,Services,Accommodation And Food Services,Employees,44000
2012,Male,Services,Accommodation And Food Services,Own Account Workers,6800
2012,Male,Services,Accommodation And Food Services,Contributing Family Workers,1200
2012,Male,Services,Information And Communications,Employers,3900
2012,Male,Services,Information And Communications,Employees,48000
2012,Male,Services,Information And Communications,Own Account Workers,2600
2012,Male,Services,Information And Communications,Contributing Family Workers,100
2012,Male,Services,Financial And Insurance Services,Employers,2200
2012,Male,Services,Financial And Insurance Services,Employees,59200
2012,Male,Services,Financial And Insurance Services,Own Account Workers,9400
2012,Male,Services,Financial And Insurance Services,Contributing Family Workers,0
2012,Male,Services,Real Estate Services,Employers,1200
2012,Male,Services,Real Estate Services,Employees,16900
2012,Male,Services,Real Estate Services,Own Account Workers,8500
2012,Male,Services,Real Estate Services,Contributing Family Workers,0
2012,Male,Services,Professional Services,Employers,9400
2012,Male,Services,Professional Services,Employees,55400
2012,Male,Services,Professional Services,Own Account Workers,5600
2012,Male,Services,Professional Services,Contributing Family Workers,0
2012,Male,Services,Administrative And Support Services,Employers,4800
2012,Male,Services,Administrative And Support Services,Employees,50600
2012,Male,Services,Administrative And Support Services,Own Account Workers,2100
2012,Male,Services,Administrative And Support Services,Contributing Family Workers,100
2012,Male,Services,Public Administration And Education,Employers,1700
2012,Male,Services,Public Administration And Education,Employees,143200
2012,Male,Services,Public Administration And Education,Own Account Workers,5300
2012,Male,Services,Public Administration And Education,Contributing Family Workers,0
2012,Male,Services,Health And Social Services,Employers,2400
2012,Male,Services,Health And Social Services,Employees,16900
2012,Male,Services,Health And Social Services,Own Account Workers,800
2012,Male,Services,Health And Social Services,Contributing Family Workers,0
2012,Male,Services,"Arts, Entertainment And Recreation",Employers,1000
2012,Male,Services,"Arts, Entertainment And Recreation",Employees,18400
2012,Male,Services,"Arts, Entertainment And Recreation",Own Account Workers,1200
2012,Male,Services,"Arts, Entertainment And Recreation",Contributing Family Workers,0
2012,Male,Services,"Other Community, Social And Personal Services",Employers,4300
2012,Male,Services,"Other Community, Social And Personal Services",Employees,17900
2012,Male,Services,"Other Community, Social And Personal Services",Own Account Workers,5100
2012,Male,Services,"Other Community, Social And Personal Services",Contributing Family Workers,100
2012,Male,Others,Others,Employers,600
2012,Male,Others,Others,Employees,17900
2012,Male,Others,Others,Own Account Workers,1000
2012,Male,Others,Others,Contributing Family Workers,0
2012,Female,Manufacturing,Manufacturing,Employers,3500
2012,Female,Manufacturing,Manufacturing,Employees,97100
2012,Female,Manufacturing,Manufacturing,Own Account Workers,1600
2012,Female,Manufacturing,Manufacturing,Contributing Family Workers,700
2012,Female,Construction,Construction,Employers,1700
2012,Female,Construction,Construction,Employees,21100
2012,Female,Construction,Construction,Own Account Workers,400
2012,Female,Construction,Construction,Contributing Family Workers,700
2012,Female,Services,Wholesale And Retail Trade,Employers,8600
2012,Female,Services,Wholesale And Retail Trade,Employees,133000
2012,Female,Services,Wholesale And Retail Trade,Own Account Workers,8200
2012,Female,Services,Wholesale And Retail Trade,Contributing Family Workers,2600
2012,Female,Services,Transportation And Storage,Employers,800
2012,Female,Services,Transportation And Storage,Employees,45200
2012,Female,Services,Transportation And Storage,Own Account Workers,1200
2012,Female,Services,Transportation And Storage,Contributing Family Workers,100
2012,Female,Services,Accommodation And Food Services,Employers,3000
