year,sex,industry1,industry2,employment_status,employed
2020,female,services,professional services,own account workers,5900
2020,female,services,professional services,contributing family workers,400
2020,female,services,administrative and support services,employers,1200
2020,female,services,administrative and support services,employees,48300
2020,female,services,administrative and support services,own account workers,3300
2020,female,services,administrative and support services,contributing family workers,200
2020,female,services,public administration and education,employers,1700
2020,female,services,public administration and education,employees,126100
2020,female,services,public administration and education,own account workers,10200
2020,female,services,public administration and education,contributing family workers,100
2020,female,services,health and social services,employers,1700
2020,female,services,health and social services,employees,103200
2020,female,services,health and social services,own account workers,3000
2020,female,services,health and social services,contributing family workers,200
2020,female,services,"arts, entertainment and recreation",employers,300
2020,female,services,"arts, entertainment and recreation",employees,16000
2020,female,services,"arts, entertainment and recreation",own account workers,900
2020,female,services,"arts, entertainment and recreation",contributing family workers,100
2020,female,services,"other community, social and personal services",employers,3300
2020,female,services,"other community, social and personal services",employees,32000
2020,female,services,"other community, social and personal services",own account workers,3800
2020,female,services,"other community, social and personal services",contributing family workers,400
2020,female,others,others,employers,0
2020,female,others,others,employees,5700
2020,female,others,others,own account workers,100
2020,female,others,others,contributing family workers,0
2021,male,manufacturing,manufacturing,employers,5500
2021,male,manufacturing,manufacturing,employees,123000
2021,male,manufacturing,manufacturing,own account workers,3100
2021,male,manufacturing,manufacturing,contributing family workers,200
2021,male,construction,construction,employers,10900
2021,male,construction,construction,employees,52000
2021,male,construction,construction,own account workers,5600
2021,male,construction,construction,contributing family workers,100
2021,male,services,wholesale and retail trade,employers,16800
2021,male,services,wholesale and retail trade,employees,138300
2021,male,services,wholesale and retail trade,own account workers,13300
2021,male,services,wholesale and retail trade,contributing family workers,600
2021,male,services,transportation and storage,employers,3000
2021,male,services,transportation and storage,employees,85800
2021,male,services,transportation and storage,own account workers,62200
2021,male,services,transportation and storage,contributing family workers,200
2021,male,services,accommodation and food services,employers,5800
2021,male,services,accommodation and food services,employees,43100
2021,male,services,accommodation and food services,own account workers,5400
2021,male,services,accommodation and food services,contributing family workers,900
2021,male,services,information and communications,employers,2900
2021,male,services,information and communications,employees,61800
2021,male,services,information and communications,own account workers,5700
2021,male,services,information and communications,contributing family workers,100
2021,male,services,financial and insurance services,employers,2800
2021,male,services,financial and insurance services,employees,93300
2021,male,services,financial and insurance services,own account workers,14600
2021,male,services,financial and insurance services,contributing family workers,100
2021,male,services,real estate services,employers,300
2021,male,services,real estate services,employees,14900
2021,male,services,real estate services,own account workers,9000
2021,male,services,real estate services,contributing family workers,0
2021,male,services,professional services,employers,7900
2021,male,services,professional services,employees,83100
2021,male,services,professional services,own account workers,9700
2021,male,services,professional services,contributing family workers,200
2021,male,services,administrative and support services,employers,2700
2021,male,services,administrative and support services,employees,64300
2021,male,services,administrative and support services,own account workers,2800
2021,male,services,administrative and support services,contributing family workers,100
2021,male,services,public administration and education,employers,1200
2021,male,services,public administration and education,employees,157400
2021,male,services,public administration and education,own account workers,7900
2021,male,services,public administration and education,contributing family workers,200
2021,male,services,health and social services,employers,2300
2021,male,services,health and social services,employees,33400
2021,male,services,health and social services,own account workers,1000
2021,male,services,health and social services,contributing family workers,100
2021,male,services,"arts, entertainment and recreation",employers,400
2021,male,services,"arts, entertainment and recreation",employees,15100
2021,male,services,"arts, entertainment and recreation",own account workers,1300
2021,male,services,"arts, entertainment and recreation",contributing family workers,0
2021,male,services,"other community, social and personal services",employers,3200
2021,male,services,"other community, social and personal services",employees,23700
2021,male,services,"other community, social and personal services",own account workers,4300
2021,male,services,"other community, social and personal services",contributing family workers,200
2021,male,others,others,employers,300
2021,male,others,others,employees,15200
2021,male,others,others,own account workers,800
2021,male,others,others,contributing family workers,0
2021,female,manufacturing,manufacturing,employers,2000
2021,female,manufacturing,manufacturing,employees,75600
2021,female,manufacturing,manufacturing,own account workers,2100
2021,female,manufacturing,manufacturing,contributing family workers,500
2021,female,construction,construction,employers,2100
2021,female,construction,construction,employees,26600
2021,female,construction,construction,own account workers,600
2021,female,construction,construction,contributing family workers,400
2021,female,services,wholesale and retail trade,employers,5900
2021,female,services,wholesale and retail trade,employees,154600
2021,female,services,wholesale and retail trade,own account workers,6900
2021,female,services,wholesale and retail trade,contributing family workers,2100
2021,female,services,transportation and storage,employers,500
2021,female,services,transportation and storage,employees,46000
2021,female,services,transportation and storage,own account workers,3000
2021,female,services,transportation and storage,contributing family workers,100
2021,female,services,accommodation and food services,employers,2800
2021,female,services,accommodation and food services,employees,62100
2021,female,services,accommodation and food services,own account workers,3700
2021,female,services,accommodation and food services,contributing family workers,1400
2021,female,services,information and communications,employers,700
2021,female,services,information and communications,employees,45900
2021,female,services,information and communications,own account workers,3100
2021,female,services,information and communications,contributing family workers,200
2021,female,services,financial and insurance services,employers,600
2021,female,services,financial and insurance services,employees,102800
2021,female,services,financial and insurance services,own account workers,10800
2021,female,services,financial and insurance services,contributing family workers,200
2021,female,services,real estate services,employers,300
2021,female,services,real estate services,employees,18000
2021,female,services,real estate services,own account workers,8500
2021,female,services,real estate services,contributing family workers,100
2021,female,services,professional services,employers,2500
2021,female,services,professional services,employees,87200
2021,female,services,professional services,own account workers,5500
2021,female,services,professional services,contributing family workers,300
2021,female,services,administrative and support services,employers,900
2021,female,services,administrative and support services,employees,45800
2021,female,services,administrative and support services,own account workers,3000
2021,female,services,administrative and support services,contributing family workers,300
2021,female,services,public administration and education,employers,1300
2021,female,services,public administration and education,employees,136400
