employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,Key
98.2,97.6,5027.0,5000.0,5247.0,5150.0,4800.0,5800.0,148
100.0,100.0,4404.0,4500.0,4886.0,5000.0,4500.0,5200.0,149
100.0,95.6,2976.0,3000.0,3188.0,3200.0,3050.0,3386.0,150
100.0,100.0,3123.0,3270.0,3353.0,3500.0,3270.0,3600.0,151
,,,,,,,,152
,,,,,,,,153
95.5,81.8,2760.0,2750.0,2831.0,2800.0,2600.0,3000.0,154
76.8,61.4,2804.0,2800.0,2973.0,3000.0,2700.0,3200.0,155
86.6,75.8,3224.0,3200.0,3328.0,3210.0,2950.0,3600.0,156
,,,,,,,,157
98.9,96.7,3467.0,3500.0,3670.0,3630.0,3470.0,4000.0,158
93.6,91.4,3375.0,2850.0,3420.0,2875.0,2722.0,3614.0,159
97.4,96.1,3871.0,3450.0,3903.0,3500.0,2875.0,4300.0,160
90.9,86.4,3630.0,3250.0,3752.0,3333.0,3000.0,4000.0,161
94.5,94.0,4019.0,3500.0,4116.0,3600.0,3200.0,4500.0,162
90.2,83.9,3525.0,3500.0,3645.0,3500.0,3175.0,4000.0,163
90.6,89.1,3815.0,3800.0,3824.0,3800.0,3300.0,4350.0,164
92.9,80.6,3431.0,3225.0,3530.0,3350.0,3000.0,4000.0,165
97.4,84.2,4057.0,4000.0,4151.0,4050.0,3500.0,4540.0,166
90.9,84.1,2981.0,3000.0,3166.0,3000.0,2800.0,3580.0,167
87.5,81.3,3331.0,3215.0,3545.0,3590.0,3000.0,3955.0,168
97.8,95.6,4932.0,4800.0,5332.0,5025.0,4600.0,5950.0,169
97.7,97.7,5089.0,4900.0,5571.0,5800.0,4800.0,6000.0,170
100.0,86.7,2490.0,2700.0,2490.0,2700.0,2575.0,2800.0,171
90.6,84.4,2586.0,2600.0,2603.0,2600.0,2300.0,2885.0,172
100.0,100.0,2932.0,2875.0,2955.0,2975.0,2800.0,3075.0,173
100.0,100.0,2859.0,3000.0,2910.0,3000.0,2700.0,3300.0,174
89.1,78.3,2547.0,2500.0,2595.0,2500.0,2400.0,2800.0,175
93.9,90.9,2553.0,2500.0,2583.0,2500.0,2373.0,2800.0,176
90.1,84.5,3041.0,3000.0,3325.0,3300.0,3000.0,3650.0,177
92.6,88.9,3208.0,3100.0,3334.0,3260.0,3003.0,3594.0,178
97.1,85.7,3196.0,3000.0,3273.0,3100.0,3000.0,3338.0,179
100.0,94.1,3293.0,3355.0,3467.0,3500.0,3233.0,3675.0,180
91.3,91.3,3311.0,3200.0,3467.0,3300.0,3075.0,3625.0,181
75.0,61.4,2806.0,2750.0,2854.0,2800.0,2500.0,3170.0,182
86.7,86.7,2954.0,2900.0,3285.0,3200.0,2950.0,3755.0,183
85.7,82.1,3072.0,2900.0,3141.0,3000.0,2800.0,3480.0,184
89.3,89.3,2430.0,2400.0,2503.0,2500.0,2200.0,2600.0,185
