year,university,school,degree,Key,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,178,92.6,88.9,3208.0,3100.0,3334.0,3260.0,3003.0,3594.0
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,179,97.1,85.7,3196.0,3000.0,3273.0,3100.0,3000.0,3338.0
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,180,100.0,94.1,3293.0,3355.0,3467.0,3500.0,3233.0,3675.0
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,181,91.3,91.3,3311.0,3200.0,3467.0,3300.0,3075.0,3625.0
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,182,75.0,61.4,2806.0,2750.0,2854.0,2800.0,2500.0,3170.0
2014,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Chemical Engineering,183,86.7,86.7,2954.0,2900.0,3285.0,3200.0,2950.0,3755.0
2014,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,184,85.7,82.1,3072.0,2900.0,3141.0,3000.0,2800.0,3480.0
2014,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,185,89.3,89.3,2430.0,2400.0,2503.0,2500.0,2200.0,2600.0
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Occupational Therapy),186,100.0,100.0,3127.0,3100.0,3151.0,3100.0,3000.0,3338.0
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Physiotherapy),187,100.0,100.0,3204.0,3200.0,3229.0,3200.0,3000.0,3500.0
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,188,88.0,88.0,3396.0,3000.0,3415.0,3000.0,2849.0,4194.0
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,189,85.7,75.0,3217.0,3100.0,3333.0,3150.0,2900.0,3500.0
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,190,92.3,92.3,3229.0,3000.0,3424.0,3250.0,2950.0,3556.0
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,191,93.0,87.3,3067.0,3050.0,3209.0,3100.0,2964.0,3443.0
2014,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,192,97.2,94.4,3230.0,3260.0,3464.0,3511.0,3115.0,3860.0
2014,Singapore Institute of Technology,"University of Nevada, Las Vegas",Bachelor of Science (Major in Hospitality Management),193,88.8,78.0,2445.0,2500.0,2634.0,2500.0,2300.0,2900.0
2014,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,194,97.1,97.1,2509.0,2600.0,2553.0,2600.0,2475.0,2613.0
2015,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,195,98.6,97.3,4225.0,3500.0,4438.0,3770.0,3000.0,4850.0
2015,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),196,97.3,96.5,3182.0,2850.0,3240.0,2875.0,2850.0,3125.0
2015,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),197,92.2,87.6,3343.0,3100.0,3502.0,3200.0,2900.0,3700.0
2015,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,198,100.0,100.0,4036.0,4184.0,4395.0,4583.0,3800.0,4876.0
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering,199,86.0,86.0,3699.0,3650.0,3724.0,3700.0,3450.0,4000.0
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,200,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Bioengineering,201,92.6,76.5,3079.0,3000.0,3197.0,3113.0,2900.0,3450.0
2015,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,202,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering,203,86.8,80.9,3156.0,3100.0,3373.0,3300.0,3000.0,3600.0
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering and Economics **,204,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Computer Engineering,205,85.1,83.0,3489.0,3350.0,3577.0,3500.0,3200.0,4000.0
2015,Nanyang Technological University,College of Engineering,Civil Engineering,206,95.3,93.0,3125.0,3100.0,3206.0,3200.0,3000.0,3300.0
2015,Nanyang Technological University,College of Engineering,Computer Science,207,92.4,91.4,3489.0,3300.0,3535.0,3300.0,3150.0,3800.0
2015,Nanyang Technological University,College of Engineering,Electrical And Electronic Engineering,208,88.6,86.2,3345.0,3200.0,3446.0,3300.0,3000.0,3690.0
2015,Nanyang Technological University,College of Engineering,Environmental Engineering,209,89.7,82.1,3472.0,3200.0,3673.0,3300.0,3000.0,3835.0
2015,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics **,210,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media,211,87.3,80.0,3271.0,3200.0,3375.0,3275.0,3000.0,3500.0
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media and Economics **,212,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Materials Engineering,213,82.9,76.8,3213.0,3100.0,3397.0,3200.0,3000.0,3600.0
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering,214,88.0,80.7,3248.0,3200.0,3388.0,3250.0,3000.0,3600.0
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics **,215,,,,,,,,
2015,Nanyang Technological University,College of Engineering,Maritime Studies,216,95.0,95.0,3249.0,3200.0,3271.0,3200.0,3000.0,3300.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",217,79.3,56.9,3284.0,2800.0,3457.0,2800.0,2200.0,3000.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,218,81.8,76.6,2978.0,3000.0,3045.0,3200.0,2800.0,3500.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,219,85.1,74.4,2921.0,2900.0,3008.0,3000.0,2600.0,3330.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,220,87.4,75.9,3322.0,3200.0,3496.0,3300.0,3000.0,3800.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,221,88.0,74.0,3238.0,3000.0,3322.0,3314.0,2604.0,3743.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,222,88.4,55.8,3475.0,3000.0,3753.0,3000.0,2800.0,3600.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,223,73.3,52.0,3099.0,3121.0,3264.0,3200.0,2800.0,3562.0
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,224,85.7,79.4,3260.0,3000.0,3402.0,3125.0,2700.0,3600.0
2015,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,225,100.0,100.0,2832.0,2800.0,2882.0,2800.0,2500.0,3105.0
2015,Nanyang Technological University,College of Sciences,Biological Sciences,226,74.6,65.3,3117.0,3000.0,3229.0,3190.0,2875.0,3600.0
2015,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,227,83.9,72.3,2960.0,2900.0,3139.0,3000.0,2800.0,3500.0
2015,Nanyang Technological University,College of Sciences,Mathematics & Economics,228,95.3,84.4,3291.0,3000.0,3440.0,3205.0,2925.0,3500.0
2015,Nanyang Technological University,College of Sciences,Mathematical Science,229,81.8,72.7,3254.0,3125.0,3402.0,3240.0,2950.0,3500.0
2015,Nanyang Technological University,College of Sciences,Physics / Applied Physics,230,82.1,69.6,3098.0,3000.0,3186.0,3200.0,2900.0,3400.0
2015,Nanyang Technological University,College of Sciences,Sports Science and Management,231,90.7,72.1,3232.0,3000.0,3307.0,3295.0,2900.0,3600.0
2015,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),232,100.0,100.0,3496.0,3500.0,3604.0,3504.0,3500.0,3855.0
2015,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),233,100.0,100.0,3551.0,3500.0,3622.0,3500.0,3500.0,3605.0
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,234,88.4,74.6,2839.0,2880.0,2999.0,3000.0,2700.0,3215.0
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),235,83.0,70.5,3266.0,3310.0,3310.0,3310.0,3000.0,3625.0
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,236,88.6,79.8,3317.0,3300.0,3442.0,3310.0,3000.0,3686.0
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration,237,88.2,80.3,3164.0,3000.0,3341.0,3000.0,2800.0,3700.0
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),238,96.0,93.1,4173.0,3750.0,4326.0,3800.0,3300.0,4600.0
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),239,97.6,97.6,2817.0,2850.0,2983.0,2850.0,2700.0,2960.0
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),240,98.6,98.6,3547.0,3000.0,3587.0,3000.0,2850.0,3634.0
2015,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),241,92.6,85.2,3230.0,3500.0,3291.0,3500.0,2800.0,3800.0
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,242,,,,,,,,
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,243,,,,,,,,
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),244,97.0,95.0,3847.0,3700.0,3890.0,3700.0,3300.0,4400.0
2015,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),245,90.3,87.1,3255.0,3300.0,3301.0,3300.0,3000.0,3500.0
2015,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),246,97.2,97.2,3597.0,3500.0,3699.0,3550.0,3200.0,4100.0
2015,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,247,100.0,100.0,4053.0,4000.0,4083.0,4000.0,4000.0,4400.0
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,248,97.6,96.4,4054.0,4114.0,4099.0,4127.0,3700.0,4500.0
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),249,72.0,60.0,2907.0,3000.0,2908.0,3000.0,2700.0,3200.0
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),250,94.3,90.8,2989.0,3000.0,3067.0,3000.0,2800.0,3215.0
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),251,93.9,89.6,3146.0,3000.0,3325.0,3100.0,2810.0,3500.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),252,86.2,75.9,3256.0,3200.0,3357.0,3300.0,3000.0,3500.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),253,86.0,82.9,3400.0,3300.0,3529.0,3500.0,3000.0,4000.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),254,96.5,95.3,3300.0,3300.0,3366.0,3350.0,3200.0,3500.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),255,91.8,90.6,4119.0,4000.0,4252.0,4000.0,3325.0,4583.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),256,92.1,90.4,3452.0,3200.0,3589.0,3300.0,3000.0,3700.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),257,82.6,73.9,3768.0,3735.0,3812.0,3800.0,3500.0,4420.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),258,88.1,85.7,3318.0,3430.0,3337.0,3450.0,3000.0,3670.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),259,96.1,94.7,3624.0,3475.0,3724.0,3500.0,3300.0,4030.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),260,100.0,95.0,3121.0,3200.0,3391.0,3350.0,3050.0,3790.0
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),261,83.3,80.0,3279.0,3200.0,3422.0,3300.0,3000.0,3600.0
2015,National University of Singapore,Faculty of Law,Bachelor of Laws (L.L.B) (Hons) #,262,96.9,96.9,4866.0,4600.0,4910.0,4700.0,4200.0,5800.0
2015,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,263,100.0,100.0,4352.0,4500.0,4729.0,4900.0,4500.0,5000.0
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),264,97.3,97.3,3175.0,3200.0,3356.0,3400.0,3200.0,3445.0
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),265,100.0,100.0,3219.0,3200.0,3466.0,3435.0,3300.0,3700.0
2015,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music,266,82.4,41.2,3244.0,3200.0,3344.0,3300.0,3000.0,3600.0
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,267,,,,,,,,
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),268,85.2,77.8,3203.0,3000.0,3355.0,3100.0,3000.0,4000.0
2015,National University of Singapore,Faculty of Science,Bachelor of Science,269,84.3,64.2,2859.0,2900.0,3052.0,3000.0,2620.0,3200.0
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),270,83.9,76.2,3245.0,3200.0,3321.0,3300.0,3000.0,3600.0
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,271,,,,,,,,
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,272,99.0,97.9,3431.0,3500.0,3717.0,3500.0,3400.0,3929.0
2015,National University of Singapore,Multi-Disciplinary Programme,Bachelor of Environmental Studies,273,71.9,59.4,3400.0,3462.0,3433.0,3500.0,3238.0,3550.0
2015,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy,274,97.3,93.0,3287.0,2900.0,3427.0,3000.0,2850.0,3500.0
2015,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy Cum Laude and above,275,97.7,97.7,3597.0,3100.0,3701.0,3200.0,2850.0,4110.0
2015,Singapore Management University,School of Business (4-year programme) *,Business Management,276,93.9,88.2,3513.0,3200.0,3611.0,3300.0,3000.0,4000.0
2015,Singapore Management University,School of Business (4-year programme) *,Business Management Cum Laude and above,277,98.3,93.3,4050.0,3800.0,4130.0,3868.0,3200.0,4600.0
2015,Singapore Management University,School of Economics (4-year programme) *,Economics,278,90.3,85.8,3798.0,3500.0,3946.0,3500.0,3200.0,4100.0
